"@type";"name";"typeCommunecter";"url.communecter";"url.api";"url.website";"address.@type";"address.streetAddress";"address.postalCode";"address.addressLocality";"address.codeInsee";"address.addressCountry";"geo.@type";"geo.latitude";"geo.longitude";"tags.0";"tags.1";"tags.2";"slug";"description";"image";"shortDescription";"tags.3";"tags.4";"email";"tags.5";"tags.6";"tags.7";"tags.8";"tags.9";"tags.10";"tags.11";"tags.12";"tags.13";"tags.14"
"Organization";"La Vie Claire";"LocalBusiness";"https://www.communecter.org/#@laVieClaire100";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab7b";"http://www.lavieclaire.com";"PostalAddress";"38 avenue de la Division";"92160";"ANTONY";"92002";"FR";"GeoCoordinates";"48.7630916";"2.3098585";"Vrac";"Épicerie";"Produits biologiques";"laVieClaire100";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Naturalia";"LocalBusiness";"https://www.communecter.org/#@naturalia18";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab7f";"http://www.naturalia.fr/";"PostalAddress";"88 avenue Aristide Briand";"92160";"ANTONY";"92002";"FR";"GeoCoordinates";"48.7630266";"2.3089392";"Vrac";"Épicerie";"Produits biologiques";"naturalia18";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio c' Bon Antony Briand";"LocalBusiness";"https://www.communecter.org/#@bioCBonAntonyBriand";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab83";"http://www.bio-c-bon.eu/fr";"PostalAddress";"64-66 av Aristide Briand";"92160";"ANTONY";"92002";"FR";"GeoCoordinates";"48.7630266";"2.3089392";"Vrac";"Épicerie";"Produits biologiques";"bioCBonAntonyBriand";"Chez Bio c' Bon Antony Briand il n'est pas possible d'apporter ses contenants et aucun contenant n'est proposé.";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop";"LocalBusiness";"https://www.communecter.org/#@biocoop23";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab87";"http://biocoop.fr/";"PostalAddress";"97 rue du Grand Champ";"38140";"APPRIEU";"38013";"FR";"GeoCoordinates";"45.396554";"5.4682421";"Vrac";"Épicerie";"Produits biologiques";"biocoop23";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biomonde Luberon Bio";"LocalBusiness";"https://www.communecter.org/#@biomondeLuberonBio";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab8b";"https://www.biomonde.fr/";"PostalAddress";"266 avenue de Roumanille ZI des Bourguignons";"84400";"APT";"84003";"FR";"GeoCoordinates";"43.887694";"5.376155";"Vrac";"Épicerie";"Produits biologiques";"biomondeLuberonBio";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biomonde Bio Comices";"LocalBusiness";"https://www.communecter.org/#@biomondeBioComices";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab8f";"https://www.biomonde.fr/";"PostalAddress";"14 chemin de Palau";"66700";"ARGELES SUR MER";"66008";"FR";"GeoCoordinates";"42.554315";"3.0137597";"Vrac";"Épicerie";"Produits biologiques";"biomondeBioComices";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Le Silo";"LocalBusiness";"https://www.communecter.org/#@leSilo";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab93";" ";"PostalAddress";"place de l’Église";"19400";"ARGENTAT";"19010";"FR";"GeoCoordinates";"45.0925642";"1.9378387";"Vrac";"Épicerie";"Produits biologiques";"leSilo";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio c’ Bon";"LocalBusiness";"https://www.communecter.org/#@bioCBon18";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab97";"http://www.bio-c-bon.eu/fr";"PostalAddress";"38 boulevard de Strasbourg";"62000";"ARRAS";"62041";"FR";"GeoCoordinates";"50.2874879";"2.7781853";"Vrac";"Épicerie";"Produits biologiques";"bioCBon18";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Bio En Artois";"LocalBusiness";"https://www.communecter.org/#@biocoopBioEnArtois";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab9b";"http://biocoop.fr/";"PostalAddress";"10 voie Notre Dame de Lorrette";"62000";"ARRAS";"62041";"FR";"GeoCoordinates";"50.2978237";"2.7692256";"Vrac";"Épicerie";"Produits biologiques";"biocoopBioEnArtois";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"La Vie Claire";"LocalBusiness";"https://www.communecter.org/#@laVieClaire101";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab9f";"http://www.lavieclaire.com";"PostalAddress";"21 place des Héros";"62000";"ARRAS";"62041";"FR";"GeoCoordinates";"50.2911397";"2.7781863";"Vrac";"Épicerie";"Produits biologiques";"laVieClaire101";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
